g,tau_s,L_ticks,rows_used,scoring_rows,post_lag_rows,max_horizon_s,max_post_lag_horizon_s,sse,mse,rms_mps,eligible,candidate_type,failing_rule,ineligible_reason
0.0,0.66,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.68,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.7,1,51,51,50,0.7000000000000001,0.7000000000000001,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.24,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.36,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.38,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.4,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.42,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.44,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.46,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.48,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.5,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.52,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.54,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.56,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.58,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.6,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.62,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.64,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.66,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.68,2,51,51,49,0.68,0.68,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.02,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.04,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.06,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.08,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.1,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.12,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.14,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.16,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.18,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.2,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.22,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.24,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.26,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.28,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.3,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.32,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
0.0,0.34,3,51,51,48,0.66,0.66,0.0,0.0,0.0,True,ELIGIBLE,,
